GPS_date,GPS_time,GPS_milliseconds,Latitude,Longitude,UTC_offset_seconds
2019-08-19,22:57:20,624,-13.64882,155.36623,0
2019-08-19,22:57:30,624,-13.64855,155.36571,0
2019-08-19,22:57:40,624,-13.64828,155.36518,0
2019-08-19,22:57:50,624,-13.64802,155.36467,0
2019-08-19,22:58:00,624,-13.64776,155.36415,0
2019-08-19,22:58:10,624,-13.64749,155.36363,0
2019-08-19,22:58:20,624,-13.64722,155.3631,0
2019-08-19,22:58:30,624,-13.64695,155.36259,0
2019-08-19,22:58:40,624,-13.64668,155.36207,0
2019-08-19,22:58:50,624,-13.64641,155.36155,0
2019-08-19,22:59:00,624,-13.64614,155.36103,0
2019-08-19,22:59:10,624,-13.64587,155.36052,0
2019-08-19,22:59:20,624,-13.64561,155.36001,0
2019-08-19,22:59:30,624,-13.64533,155.35948,0
2019-08-19,22:59:40,624,-13.64506,155.35897,0
2019-08-19,22:59:50,624,-13.64479,155.35846,0
2019-08-19,23:00:00,624,-13.64452,155.35795,0
2019-08-19,23:00:10,624,-13.64424,155.35744,0
2019-08-19,23:00:20,624,-13.64397,155.35693,0
2019-08-19,23:00:30,624,-13.6437,155.35641,0
2019-08-19,23:00:40,624,-13.64343,155.35589,0
2019-08-19,23:00:50,624,-13.64316,155.35537,0
2019-08-19,23:01:00,624,-13.64289,155.35486,0
2019-08-19,23:01:10,624,-13.64262,155.35434,0
2019-08-19,23:01:20,624,-13.64235,155.35382,0
2019-08-19,23:01:30,625,-13.64208,155.3533,0
2019-08-19,23:01:40,624,-13.6418,155.35279,0
2019-08-19,23:01:50,624,-13.64153,155.35227,0
2019-08-19,23:02:00,625,-13.64126,155.35175,0
2019-08-19,23:02:10,624,-13.64099,155.35123,0
2019-08-19,23:02:20,624,-13.64072,155.35071,0
2019-08-19,23:02:30,625,-13.64044,155.35019,0
2019-08-19,23:02:40,624,-13.64018,155.34967,0
2019-08-19,23:02:50,624,-13.63991,155.34916,0
2019-08-19,23:03:00,624,-13.63963,155.34863,0
2019-08-19,23:03:10,624,-13.63936,155.34811,0
2019-08-19,23:03:20,624,-13.6391,155.3476,0
2019-08-19,23:03:30,625,-13.63884,155.34707,0
2019-08-19,23:03:40,624,-13.63857,155.34655,0
2019-08-19,23:03:50,624,-13.6383,155.34603,0
2019-08-19,23:04:00,624,-13.63803,155.34551,0
2019-08-19,23:04:10,624,-13.63776,155.34499,0
